X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.240851402282714844e+01;1.748617553710937500e+01;-9.125709533691406250e-03;2.144149398803710938e+01;2.000000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.602859684710626560e+18
-1.243433761596679688e+01;1.796885681152343750e+01;-1.021003723144531250e-02;2.185160636901855469e+01;2.100000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859684710646528e+18
-1.247315406799316406e+01;1.844403457641601562e+01;-1.132678985595703125e-02;2.226571655273437500e+01;1.700000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;6.000000000000000000e+00;1.602859684710663936e+18
-1.235567378997802734e+01;1.873855209350585938e+01;-1.139163970947265625e-02;2.244540405273437500e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859684710681600e+18
-1.239060401916503906e+01;1.924261856079101562e+01;-1.255512237548828125e-02;2.288679885864257812e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859684710697472e+18
-1.215074348449707031e+01;1.934886932373046875e+01;-1.250171661376953125e-02;2.284774589538574219e+01;8.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859684710713600e+18
-1.185033798217773438e+01;1.981695175170898438e+01;-1.353549957275390625e-02;2.308987426757812500e+01;1.600000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859684710742784e+18
-5.425917625427246094e+00;9.289249420166015625e+00;-6.739616394042968750e-03;1.075782394409179688e+01;1.400000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859684710756352e+18
-5.215314865112304688e+00;9.171714782714843750e+00;-6.588935852050781250e-03;1.055082511901855469e+01;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.500000000000000000e+01;1.602859684710770176e+18
-5.183611869812011719e+00;9.341856002807617188e+00;-7.096290588378906250e-03;1.068363952636718750e+01;2.300000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.400000000000000000e+01;1.602859684710782976e+18
-7.346309661865234375e+00;2.546954345703125000e+01;-2.505588531494140625e-02;2.650785827636718750e+01;6.400000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859684711010560e+18
-7.080076217651367188e+00;2.562993621826171875e+01;-2.597427368164062500e-02;2.658988189697265625e+01;6.700000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859684711020288e+18
-6.818561553955078125e+00;2.576940536499023438e+01;-2.488136291503906250e-02;2.665625000000000000e+01;5.700000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859684711029760e+18
-6.524664878845214844e+00;2.569228363037109375e+01;-2.558326721191406250e-02;2.650783538818359375e+01;1.700000000000000000e+01;3.400000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859684711038720e+18
-6.315584182739257812e+00;2.603400039672851562e+01;-2.667713165283203125e-02;2.678911209106445312e+01;6.000000000000000000e+00;3.500000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859684711048192e+18
-5.575720787048339844e+00;2.662556648254394531e+01;-2.753925323486328125e-02;2.720312881469726562e+01;8.000000000000000000e+00;3.800000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859684711075584e+18
