X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.238454818725585938e+01;1.747436141967773438e+01;-9.115219116210937500e-03;2.141799354553222656e+01;2.000000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859687995990272e+18
-1.230963516235351562e+01;1.777966690063476562e+01;-1.010417938232421875e-02;2.162507247924804688e+01;1.700000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859687996009216e+18
-1.235079097747802734e+01;1.828163909912109375e+01;-1.122188568115234375e-02;2.206264877319335938e+01;1.700000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.602859687996027648e+18
-1.239237117767333984e+01;1.878462600708007812e+01;-1.142120361328125000e-02;2.250407028198242188e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.602859687996044288e+18
-1.254991722106933594e+01;1.948851394653320312e+01;-1.173686981201171875e-02;2.317979240417480469e+01;1.800000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859687996060672e+18
-1.207208156585693359e+01;1.921370315551757812e+01;-1.241683959960937500e-02;2.269144630432128906e+01;5.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859687996076288e+18
-1.178870201110839844e+01;1.970360183715820312e+01;-1.346111297607421875e-02;2.296095848083496094e+01;1.300000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;5.000000000000000000e+00;1.602859687996105472e+18
-5.332971572875976562e+00;9.144509315490722656e+00;-6.629943847656250000e-03;1.058596611022949219e+01;1.700000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859687996119808e+18
-5.321217536926269531e+00;9.345156669616699219e+00;-7.164955139160156250e-03;1.075394630432128906e+01;1.900000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.300000000000000000e+01;1.602859687996132864e+18
-5.178853034973144531e+00;9.344462394714355469e+00;-7.095336914062500000e-03;1.068361091613769531e+01;2.200000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;2.200000000000000000e+01;1.602859687996146432e+18
-7.328050613403320312e+00;2.547885131835937500e+01;-2.404594421386718750e-02;2.651174736022949219e+01;6.200000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859687996374016e+18
-7.096242904663085938e+00;2.563765335083007812e+01;-2.599334716796875000e-02;2.660162734985351562e+01;5.900000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859687996383232e+18
-6.836117744445800781e+00;2.577288246154785156e+01;-2.589416503906250000e-02;2.666410827636718750e+01;4.900000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859687996392704e+18
-6.538374900817871094e+00;2.580968475341796875e+01;-2.568721771240234375e-02;2.662500381469726562e+01;1.600000000000000000e+01;3.400000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859687996402176e+18
-6.337737083435058594e+00;2.619346237182617188e+01;-2.483844757080078125e-02;2.694930458068847656e+01;7.000000000000000000e+00;3.500000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859687996411648e+18
-6.137914657592773438e+00;2.648569869995117188e+01;-2.690315246582031250e-02;2.718762588500976562e+01;6.000000000000000000e+00;3.600000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859687996420352e+18
-5.482583999633789062e+00;2.629388427734375000e+01;-2.620506286621093750e-02;2.685940742492675781e+01;8.000000000000000000e+00;3.800000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859687996439040e+18
-4.182705879211425781e+00;2.703786468505859375e+01;-2.860927581787109375e-02;2.735949516296386719e+01;7.000000000000000000e+00;4.300000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859687996483328e+18
-3.302805900573730469e+00;2.700191879272460938e+01;-2.777004241943359375e-02;2.720317840576171875e+01;6.000000000000000000e+00;4.600000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859687996509696e+18
-3.084964752197265625e+00;2.760157775878906250e+01;-2.999687194824218750e-02;2.777345848083496094e+01;6.000000000000000000e+00;4.700000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859687996518656e+18
-2.128926277160644531e+00;2.669258499145507812e+01;-2.905464172363281250e-02;2.677736473083496094e+01;7.000000000000000000e+00;5.000000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859687996544512e+18
4.357595443725585938e-01;2.849674606323242188e+01;-3.093624114990234375e-02;2.850009346008300781e+01;1.100000000000000000e+01;5.900000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859687996622080e+18
7.297477722167968750e-01;2.818983840942382812e+01;-3.003787994384765625e-02;2.819929885864257812e+01;1.700000000000000000e+01;6.000000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859687996630784e+18
1.006580352783203125e+00;2.804844093322753906e+01;-3.106689453125000000e-02;2.806651306152343750e+01;9.000000000000000000e+00;6.100000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859687996639232e+18
1.202559471130371094e+00;2.605822372436523438e+01;-2.831554412841796875e-02;2.608597183227539062e+01;7.000000000000000000e+00;6.200000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859687996647680e+18
