X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.239993190765380859e+01;1.747317123413085938e+01;-1.003170013427734375e-02;2.142592239379882812e+01;1.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859704012133376e+18
-1.242100048065185547e+01;1.794958496093750000e+01;-1.019859313964843750e-02;2.182816886901855469e+01;1.900000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.602859704012153088e+18
-1.243592166900634766e+01;1.838431358337402344e+01;-1.129055023193359375e-02;2.219538879394531250e+01;1.800000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859704012170496e+18
-1.248798465728759766e+01;1.893680191040039062e+01;-1.151275634765625000e-02;2.268374633789062500e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859704012188416e+18
-1.240963745117187500e+01;1.927217674255371094e+01;-1.257419586181640625e-02;2.292195510864257812e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859704012204032e+18
-1.204428386688232422e+01;1.917591857910156250e+01;-1.334476470947265625e-02;2.264466476440429688e+01;7.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859704012220160e+18
-1.176814079284667969e+01;1.967949676513671875e+01;-1.344203948974609375e-02;2.292971611022949219e+01;1.700000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859704012249344e+18
-5.449030876159667969e+00;9.330043792724609375e+00;-6.768226623535156250e-03;1.080470752716064453e+01;1.500000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;8.000000000000000000e+00;1.602859704012262912e+18
-5.328712463378906250e+00;9.372375488281250000e+00;-6.732940673828125000e-03;1.078131008148193359e+01;2.000000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.600000000000000000e+01;1.602859704012276736e+18
-5.202565193176269531e+00;9.376012802124023438e+00;-7.122039794921875000e-03;1.072270298004150391e+01;3.000000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.800000000000000000e+01;1.602859704012289792e+18
-7.341979026794433594e+00;2.545453262329101562e+01;-2.504062652587890625e-02;2.649223518371582031e+01;6.100000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859704012517120e+18
-7.081911087036132812e+00;2.563757705688476562e+01;-2.498245239257812500e-02;2.659773445129394531e+01;6.800000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859704012526848e+18
-6.817752838134765625e+00;2.576159286499023438e+01;-2.487468719482421875e-02;2.664849090576171875e+01;5.800000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859704012536576e+18
-6.524664878845214844e+00;2.569228363037109375e+01;-2.558326721191406250e-02;2.650783538818359375e+01;1.700000000000000000e+01;3.400000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859704012545536e+18
-6.384502410888671875e+00;2.629863929748535156e+01;-2.595329284667968750e-02;2.706253814697265625e+01;6.000000000000000000e+00;3.500000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859704012554752e+18
-4.786547660827636719e+00;2.713579940795898438e+01;-2.827644348144531250e-02;2.755473518371582031e+01;5.000000000000000000e+00;4.100000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859704012609024e+18
-3.097732543945312500e+00;2.791464042663574219e+01;-2.936649322509765625e-02;2.808600997924804688e+01;6.000000000000000000e+00;4.700000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859704012662272e+18
-2.819636344909667969e+00;2.807369232177734375e+01;-2.830982208251953125e-02;2.821494865417480469e+01;6.000000000000000000e+00;4.800000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859704012671232e+18
-2.115625381469726562e+00;2.670547294616699219e+01;-2.817344665527343750e-02;2.678915786743164062e+01;7.000000000000000000e+00;5.000000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859704012688384e+18
4.430036544799804688e-01;2.861767196655273438e+01;-3.018474578857421875e-02;2.862111663818359375e+01;5.000000000000000000e+00;5.900000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859704012765952e+18
7.126531600952148438e-01;2.822936058044433594e+01;-3.094673156738281250e-02;2.823837089538574219e+01;1.700000000000000000e+01;6.000000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859704012774144e+18
1.025359153747558594e+00;2.826268959045410156e+01;-3.042030334472656250e-02;2.828129959106445312e+01;8.000000000000000000e+00;6.100000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859704012782848e+18
1.222980499267578125e+00;2.610416984558105469e+01;-2.754878997802734375e-02;2.613281631469726562e+01;1.000000000000000000e+01;6.200000000000000000e+01;0.000000000000000000e+00;7.000000000000000000e+00;1.602859704012791552e+18
1.336977005004882812e+00;2.354417037963867188e+01;-2.508258819580078125e-02;2.358211326599121094e+01;1.300000000000000000e+01;6.300000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859704012799744e+18
1.454513549804687500e+00;2.167006111145019531e+01;-2.331161499023437500e-02;2.171883201599121094e+01;7.000000000000000000e+00;6.400000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859704012808448e+18
1.529774665832519531e+00;1.957312583923339844e+01;-2.127361297607421875e-02;1.963282775878906250e+01;1.300000000000000000e+01;6.500000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859704012817152e+18
1.663039207458496094e+00;1.871930503845214844e+01;-1.992416381835937500e-02;1.879304313659667969e+01;8.000000000000000000e+00;6.600000000000000000e+01;0.000000000000000000e+00;1.100000000000000000e+01;1.602859704012825856e+18
1.767695426940917969e+00;1.788163757324218750e+01;-1.920795440673828125e-02;1.796880912780761719e+01;1.300000000000000000e+01;6.700000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859704012834304e+18
1.884346961975097656e+00;1.723716163635253906e+01;-1.869201660156250000e-02;1.733986282348632812e+01;1.700000000000000000e+01;6.800000000000000000e+01;0.000000000000000000e+00;1.600000000000000000e+01;1.602859704012842752e+18
1.880948066711425781e+00;1.563728904724121094e+01;-1.658916473388671875e-02;1.575001716613769531e+01;1.400000000000000000e+01;6.900000000000000000e+01;0.000000000000000000e+00;1.500000000000000000e+01;1.602859704012851456e+18
