X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.237623119354248047e+01;1.744196510314941406e+01;-1.001358032226562500e-02;2.138675689697265625e+01;2.100000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;6.000000000000000000e+00;1.602859754524586752e+18
-1.242544651031494141e+01;1.795600891113281250e+01;-1.020240783691406250e-02;2.183598136901855469e+01;2.000000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859754524606464e+18
-1.244683456420898438e+01;1.839577865600585938e+01;-1.129913330078125000e-02;2.221099853515625000e+01;1.800000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859754524623872e+18
-1.249228572845458984e+01;1.894332313537597656e+01;-1.151657104492187500e-02;2.269155883789062500e+01;1.900000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859754524641536e+18
-1.241767501831054688e+01;1.926243591308593750e+01;-1.257324218750000000e-02;2.291812133789062500e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859754524657408e+18
-1.176926994323730469e+01;1.967881774902343750e+01;-1.344203948974609375e-02;2.292971420288085938e+01;1.300000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859754524702720e+18
-5.424337387084960938e+00;9.290199279785156250e+00;-6.738662719726562500e-03;1.075784778594970703e+01;1.300000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859754524716288e+18
-5.304135322570800781e+00;9.327916145324707031e+00;-6.701469421386718750e-03;1.073051357269287109e+01;1.800000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.300000000000000000e+01;1.602859754524730112e+18
-5.185114860534667969e+00;9.349982261657714844e+00;-6.656646728515625000e-03;1.069147491455078125e+01;2.300000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.900000000000000000e+01;1.602859754524743168e+18
-7.339589118957519531e+00;2.545519256591796875e+01;-2.503967285156250000e-02;2.649220657348632812e+01;5.600000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859754524970496e+18
-7.079831123352050781e+00;2.563004684448242188e+01;-2.497482299804687500e-02;2.658992195129394531e+01;6.800000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859754524980224e+18
-6.816943168640136719e+00;2.575378036499023438e+01;-2.486801147460937500e-02;2.664072990417480469e+01;5.300000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859754524989696e+18
