X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.221121406555175781e+01;1.720940589904785156e+01;-9.880065917968750000e-03;2.110159873962402344e+01;1.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859738919113216e+18
-1.241655540466308594e+01;1.794316101074218750e+01;-1.019477844238281250e-02;2.182035636901855469e+01;1.700000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859738919133184e+18
-1.243044471740722656e+01;1.836922645568847656e+01;-1.128292083740234375e-02;2.217982292175292969e+01;1.700000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859738919150592e+18
-1.250949001312255859e+01;1.896940994262695312e+01;-1.153182983398437500e-02;2.272280693054199219e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859738919168256e+18
-1.252869224548339844e+01;1.943713760375976562e+01;-1.268672943115234375e-02;2.312510681152343750e+01;1.800000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859738919184128e+18
-1.203761386871337891e+01;1.916625213623046875e+01;-1.238441467285156250e-02;2.263293075561523438e+01;5.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859738919200256e+18
-1.177215099334716797e+01;1.968620300292968750e+01;-1.344585418701171875e-02;2.293753051757812500e+01;1.700000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859738919229440e+18
-5.424863815307617188e+00;9.289882659912109375e+00;-6.738662719726562500e-03;1.075783920288085938e+01;1.600000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;5.000000000000000000e+00;1.602859738919243008e+18
-5.348019599914550781e+00;9.406332969665527344e+00;-6.756782531738281250e-03;1.082037258148193359e+01;2.000000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.300000000000000000e+01;1.602859738919256832e+18
-5.198256492614746094e+00;9.369493484497070312e+00;-7.116317749023437500e-03;1.071491146087646484e+01;2.600000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.800000000000000000e+01;1.602859738919269632e+18
-7.338641166687011719e+00;2.544742965698242188e+01;-2.503299713134765625e-02;2.648448562622070312e+01;6.100000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859738919497216e+18
-7.082156181335449219e+00;2.563746643066406250e+01;-2.598190307617187500e-02;2.659769248962402344e+01;6.700000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859738919506688e+18
-6.817986488342285156e+00;2.576148033142089844e+01;-2.587127685546875000e-02;2.664844322204589844e+01;5.500000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859738919516416e+18
-6.524495124816894531e+00;2.569647407531738281e+01;-2.558612823486328125e-02;2.651185607910156250e+01;1.700000000000000000e+01;3.400000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859738919525376e+18
-6.303204536437988281e+00;2.593253707885742188e+01;-2.658367156982421875e-02;2.668759155273437500e+01;8.000000000000000000e+00;3.500000000000000000e+01;0.000000000000000000e+00;7.000000000000000000e+00;1.602859738919534592e+18
-6.270189285278320312e+00;2.714870452880859375e+01;-2.755928039550781250e-02;2.786338424682617188e+01;6.000000000000000000e+00;3.600000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859738919544064e+18
-5.666644096374511719e+00;2.706552314758300781e+01;-2.799320220947265625e-02;2.765238189697265625e+01;6.000000000000000000e+00;3.800000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859738919562240e+18
-3.031813621520996094e+00;2.732062911987304688e+01;-2.874183654785156250e-02;2.748835182189941406e+01;6.000000000000000000e+00;4.700000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859738919642368e+18
-2.120560646057128906e+00;2.676777648925781250e+01;-2.823925018310546875e-02;2.685165596008300781e+01;5.000000000000000000e+00;5.000000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859738919668224e+18
4.375782012939453125e-01;2.832483673095703125e+01;-2.987480163574218750e-02;2.832823181152343750e+01;6.000000000000000000e+00;5.900000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859738919746048e+18
7.153148651123046875e-01;2.833479690551757812e+01;-3.106212615966796875e-02;2.834384155273437500e+01;1.400000000000000000e+01;6.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859738919754240e+18
1.016436576843261719e+00;2.801675796508789062e+01;-3.015613555908203125e-02;2.803520584106445312e+01;8.000000000000000000e+00;6.100000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859738919762688e+18
1.227996826171875000e+00;2.622914505004882812e+01;-2.851867675781250000e-02;2.625789070129394531e+01;6.000000000000000000e+00;6.200000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859738919771392e+18
1.339407920837402344e+00;2.334838104248046875e+01;-2.488803863525390625e-02;2.338678169250488281e+01;1.300000000000000000e+01;6.300000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859738919780096e+18
1.484559059143066406e+00;2.209478759765625000e+01;-2.377033233642578125e-02;2.214461898803710938e+01;9.000000000000000000e+00;6.400000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859738919788288e+18
1.526345252990722656e+00;1.953811645507812500e+01;-2.123451232910156250e-02;1.959765815734863281e+01;1.300000000000000000e+01;6.500000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859738919796992e+18
1.688969612121582031e+00;1.901893997192382812e+01;-2.024269104003906250e-02;1.909379768371582031e+01;8.000000000000000000e+00;6.600000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859738919805952e+18
1.784604072570800781e+00;1.805267715454101562e+01;-1.939105987548828125e-02;1.814068222045898438e+01;1.700000000000000000e+01;6.700000000000000000e+01;0.000000000000000000e+00;1.200000000000000000e+01;1.602859738919814144e+18
1.886878967285156250e+00;1.728409385681152344e+01;-1.873970031738281250e-02;1.738679313659667969e+01;1.700000000000000000e+01;6.800000000000000000e+01;0.000000000000000000e+00;1.800000000000000000e+01;1.602859738919822848e+18
1.882814407348632812e+00;1.565280246734619141e+01;-1.660537719726562500e-02;1.576564311981201172e+01;1.400000000000000000e+01;6.900000000000000000e+01;0.000000000000000000e+00;1.600000000000000000e+01;1.602859738919831552e+18
