X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.237070751190185547e+01;1.743637466430664062e+01;-1.000976562500000000e-02;2.137899971008300781e+01;1.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859717974925056e+18
-1.242331600189208984e+01;1.795746612548828125e+01;-1.020240783691406250e-02;2.183596801757812500e+01;1.800000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859717974945280e+18
-1.242832851409912109e+01;1.838941001892089844e+01;-1.128959655761718750e-02;2.219535636901855469e+01;1.800000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859717974962432e+18
-1.236706924438476562e+01;1.873099136352539062e+01;-1.234245300292968750e-02;2.244536972045898438e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859717974979328e+18
-1.240637493133544922e+01;1.926957702636718750e+01;-1.257133483886718750e-02;2.291800308227539062e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.602859717974995968e+18
-1.204499244689941406e+01;1.915235710144042969e+01;-1.333427429199218750e-02;2.262509155273437500e+01;7.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+01;1.602859717975011328e+18
-1.183142471313476562e+01;1.978274536132812500e+01;-1.351261138916015625e-02;2.305080986022949219e+01;1.600000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859717975041280e+18
-5.391087532043457031e+00;9.241736412048339844e+00;-6.701469421386718750e-03;1.069923210144042969e+01;1.700000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;6.000000000000000000e+00;1.602859717975054848e+18
-5.307475090026855469e+00;9.335021972656250000e+00;-6.706237792968750000e-03;1.073834133148193359e+01;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.200000000000000000e+01;1.602859717975068672e+18
-5.199810981750488281e+00;9.368556022644042969e+00;-7.117271423339843750e-03;1.071484565734863281e+01;2.500000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;2.100000000000000000e+01;1.602859717975081472e+18
-7.341569900512695312e+00;2.547101783752441406e+01;-2.505302429199218750e-02;2.650796127319335938e+01;6.800000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859717975309056e+18
-7.077465057373046875e+00;2.563071060180664062e+01;-2.497386932373046875e-02;2.658993148803710938e+01;6.400000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859717975318784e+18
-6.818561553955078125e+00;2.576940536499023438e+01;-2.488136291503906250e-02;2.665625000000000000e+01;5.900000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859717975328512e+18
-6.558166503906250000e+00;2.580467987060546875e+01;-2.569866180419921875e-02;2.662502098083496094e+01;1.700000000000000000e+01;3.400000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859717975337216e+18
-6.309776306152343750e+00;2.605154800415039062e+01;-2.569770812988281250e-02;2.680479621887207031e+01;8.000000000000000000e+00;3.500000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859717975346688e+18
-6.236602783203125000e+00;2.701613998413085938e+01;-2.538967132568359375e-02;2.772665977478027344e+01;6.000000000000000000e+00;3.600000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859717975356160e+18
-5.873032569885253906e+00;2.664566993713378906e+01;-2.781105041503906250e-02;2.728525352478027344e+01;6.000000000000000000e+00;3.700000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859717975364864e+18
-5.275652885437011719e+00;2.668675994873046875e+01;-2.733516693115234375e-02;2.720324325561523438e+01;6.000000000000000000e+00;3.900000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859717975383296e+18
-4.392511367797851562e+00;2.664038467407226562e+01;-2.748870849609375000e-02;2.700009346008300781e+01;6.000000000000000000e+00;4.200000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859717975409920e+18
-4.249080657958984375e+00;2.762048149108886719e+01;-2.822971343994140625e-02;2.794541931152343750e+01;5.000000000000000000e+00;4.300000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859717975419136e+18
-3.888202667236328125e+00;2.703042602539062500e+01;-2.833271026611328125e-02;2.730865859985351562e+01;6.000000000000000000e+00;4.400000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859717975427584e+18
-3.330988883972167969e+00;2.735272407531738281e+01;-2.811717987060546875e-02;2.755481338500976562e+01;9.000000000000000000e+00;4.600000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859717975445248e+18
-2.812008857727050781e+00;2.786240386962890625e+01;-2.998447418212890625e-02;2.800396156311035156e+01;6.000000000000000000e+00;4.800000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859717975462656e+18
4.207439422607421875e-01;2.839141654968261719e+01;-3.080749511718750000e-02;2.839455032348632812e+01;1.200000000000000000e+01;5.900000000000000000e+01;0.000000000000000000e+00;7.000000000000000000e+00;1.602859717975557376e+18
7.280397415161132812e-01;2.836955451965332031e+01;-3.111267089843750000e-02;2.837891197204589844e+01;1.400000000000000000e+01;6.000000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859717975565824e+18
1.011746406555175781e+00;2.783713722229003906e+01;-2.996444702148437500e-02;2.785553359985351562e+01;1.300000000000000000e+01;6.100000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859717975574784e+18
1.225051879882812500e+00;2.611190414428710938e+01;-2.672195434570312500e-02;2.614063835144042969e+01;1.200000000000000000e+01;6.200000000000000000e+01;0.000000000000000000e+00;7.000000000000000000e+00;1.602859717975583488e+18
1.337352752685546875e+00;2.360674667358398438e+01;-2.590847015380859375e-02;2.364461135864257812e+01;1.300000000000000000e+01;6.300000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859717975591680e+18
1.498173713684082031e+00;2.213686370849609375e+01;-2.382659912109375000e-02;2.218751525878906250e+01;5.000000000000000000e+00;6.400000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859717975600128e+18
1.528369903564453125e+00;1.953803634643554688e+01;-2.059268951416015625e-02;1.959773445129394531e+01;1.300000000000000000e+01;6.500000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859717975609088e+18
1.722333908081054688e+00;1.948264694213867188e+01;-2.007961273193359375e-02;1.955863952636718750e+01;8.000000000000000000e+00;6.600000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859717975617280e+18
1.771224021911621094e+00;1.794411087036132812e+01;-1.927185058593750000e-02;1.803132629394531250e+01;1.700000000000000000e+01;6.700000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859717975625984e+18
1.909700393676757812e+00;1.741516876220703125e+01;-1.889038085937500000e-02;1.751957321166992188e+01;1.400000000000000000e+01;6.800000000000000000e+01;0.000000000000000000e+00;1.600000000000000000e+01;1.602859717975634688e+18
1.871397972106933594e+00;1.554798126220703125e+01;-1.649475097656250000e-02;1.566020870208740234e+01;1.700000000000000000e+01;6.900000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+01;1.602859717975643392e+18
2.456198692321777344e+00;1.882089042663574219e+01;-2.079868316650390625e-02;1.898049736022949219e+01;1.300000000000000000e+01;7.000000000000000000e+01;0.000000000000000000e+00;2.900000000000000000e+01;1.602859717975651840e+18
2.363812446594238281e+00;1.674809646606445312e+01;-1.809787750244140625e-02;1.691409683227539062e+01;1.200000000000000000e+01;7.100000000000000000e+01;0.000000000000000000e+00;1.400000000000000000e+01;1.602859717975660544e+18
2.709803581237792969e+00;1.783049774169921875e+01;-1.882266998291015625e-02;1.803524398803710938e+01;1.100000000000000000e+01;7.200000000000000000e+01;0.000000000000000000e+00;1.300000000000000000e+01;1.602859717975669248e+18
4.143431663513183594e+00;2.394097328186035156e+01;-2.573585510253906250e-02;2.429689025878906250e+01;1.100000000000000000e+01;7.400000000000000000e+01;0.000000000000000000e+00;8.000000000000000000e+00;1.602859717975686656e+18
4.132981300354003906e+00;2.245486068725585938e+01;-2.436447143554687500e-02;2.283205795288085938e+01;1.300000000000000000e+01;7.500000000000000000e+01;0.000000000000000000e+00;1.200000000000000000e+01;1.602859717975695616e+18
4.360615730285644531e+00;2.236805534362792969e+01;-2.449321746826171875e-02;2.278915214538574219e+01;1.300000000000000000e+01;7.600000000000000000e+01;0.000000000000000000e+00;1.300000000000000000e+01;1.602859717975704576e+18
4.055675506591796875e+00;1.974406814575195312e+01;-2.108192443847656250e-02;2.015631866455078125e+01;1.700000000000000000e+01;7.700000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859717975713280e+18
4.049684524536132812e+00;1.874327850341796875e+01;-1.949310302734375000e-02;1.917578697204589844e+01;1.700000000000000000e+01;7.800000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859717975721984e+18
4.132054328918457031e+00;1.818090248107910156e+01;-1.908302307128906250e-02;1.864455604553222656e+01;2.300000000000000000e+01;7.900000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859717975730944e+18
