X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.234441375732421875e+01;1.739274978637695312e+01;-9.985923767089843750e-03;2.132820701599121094e+01;1.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859749185872384e+18
-1.234441280364990234e+01;1.784115982055664062e+01;-1.013660430908203125e-02;2.169542884826660156e+01;1.700000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859749185892352e+18
-1.243707752227783203e+01;1.840235519409179688e+01;-1.129817962646484375e-02;2.221098136901855469e+01;1.700000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.602859749185909760e+18
-1.235696792602539062e+01;1.871902847290039062e+01;-1.138496398925781250e-02;2.242981910705566406e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859749185926656e+18
-1.238945770263671875e+01;1.924330329895019531e+01;-1.255416870117187500e-02;2.288675498962402344e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859749185943040e+18
-1.231002807617187500e+01;1.957630157470703125e+01;-1.362895965576171875e-02;2.312506294250488281e+01;8.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;6.000000000000000000e+00;1.602859749185958656e+18
-1.179507637023925781e+01;1.972711181640625000e+01;-1.347351074218750000e-02;2.298440742492675781e+01;1.700000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;7.000000000000000000e+00;1.602859749185988608e+18
-5.361829757690429688e+00;9.181939125061035156e+00;-6.660461425781250000e-03;1.063283920288085938e+01;1.300000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859749186001920e+18
-5.222524642944335938e+00;9.185606956481933594e+00;-6.598472595214843750e-03;1.056646537780761719e+01;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.300000000000000000e+01;1.602859749186016000e+18
-5.191710472106933594e+00;9.355206489562988281e+00;-7.106781005859375000e-03;1.069924259185791016e+01;2.500000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.600000000000000000e+01;1.602859749186028800e+18
-7.346534729003906250e+00;2.546137619018554688e+01;-2.504920959472656250e-02;2.650007247924804688e+01;7.500000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859749186256128e+18
-7.077465057373046875e+00;2.563071060180664062e+01;-2.497386932373046875e-02;2.658993148803710938e+01;5.600000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859749186265856e+18
