X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.238454818725585938e+01;1.747436141967773438e+01;-9.115219116210937500e-03;2.141799354553222656e+01;1.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763559335168e+18
-1.239321327209472656e+01;1.790716552734375000e+01;-1.017475128173828125e-02;2.177747535705566406e+01;1.700000000000000000e+01;1.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859763559353856e+18
-1.231992340087890625e+01;1.821282958984375000e+01;-1.118564605712890625e-02;2.198835563659667969e+01;1.700000000000000000e+01;2.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859763559371520e+18
-1.237833213806152344e+01;1.876573944091796875e+01;-1.140975952148437500e-02;2.248057365417480469e+01;1.700000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00;1.602859763559389184e+18
-1.242172718048095703e+01;1.927365875244140625e+01;-1.257991790771484375e-02;2.292974853515625000e+01;1.700000000000000000e+01;4.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00;1.602859763559405056e+18
-1.204601478576660156e+01;1.917468643188476562e+01;-1.239109039306640625e-02;2.264454078674316406e+01;6.000000000000000000e+00;5.000000000000000000e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.602859763559420928e+18
-1.176037311553955078e+01;1.966138076782226562e+01;-1.343059539794921875e-02;2.291018295288085938e+01;1.700000000000000000e+01;7.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763559450112e+18
-5.458190917968750000e+00;9.360905647277832031e+00;-6.334304809570312500e-03;1.083597946166992188e+01;1.500000000000000000e+01;8.000000000000000000e+00;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763559464704e+18
-5.223737716674804688e+00;9.184873580932617188e+00;-7.039070129394531250e-03;1.056642723083496094e+01;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;1.600000000000000000e+01;1.602859763559477760e+18
-5.185910224914550781e+00;9.358440399169921875e+00;-7.104873657226562500e-03;1.069925785064697266e+01;2.500000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.400000000000000000e+01;1.602859763559491328e+18
-7.325798034667968750e+00;2.547550582885742188e+01;-2.404212951660156250e-02;2.650790977478027344e+01;6.500000000000000000e+01;3.100000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859763559718912e+18
-7.096689224243164062e+00;2.562543487548828125e+01;-2.598381042480468750e-02;2.658997154235839844e+01;6.600000000000000000e+01;3.200000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859763559727872e+18
-6.818093299865722656e+00;2.575337600708007812e+01;-2.486896514892578125e-02;2.664063453674316406e+01;6.100000000000000000e+01;3.300000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859763559737344e+18
-6.542343139648437500e+00;2.584101867675781250e+01;-2.472496032714843750e-02;2.665635299682617188e+01;1.700000000000000000e+01;3.400000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859763559747072e+18
-6.465851783752441406e+00;2.663271713256835938e+01;-2.729511260986328125e-02;2.740637969970703125e+01;7.000000000000000000e+00;3.500000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859763559755776e+18
-5.961959838867187500e+00;2.713409423828125000e+01;-2.729320526123046875e-02;2.778137397766113281e+01;6.000000000000000000e+00;3.700000000000000000e+01;0.000000000000000000e+00;0.000000000000000000e+00;1.602859763559774464e+18
-5.338494300842285156e+00;2.689727020263671875e+01;-2.756881713867187500e-02;2.742195129394531250e+01;7.000000000000000000e+00;3.900000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859763559792384e+18
-4.945762634277343750e+00;2.648363494873046875e+01;-2.687931060791015625e-02;2.694149589538574219e+01;6.000000000000000000e+00;4.000000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859763559801344e+18
-3.045645713806152344e+00;2.741732597351074219e+01;-2.884674072265625000e-02;2.758598518371582031e+01;6.000000000000000000e+00;4.700000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763559863296e+18
-2.137379646301269531e+00;2.675078010559082031e+01;-2.912235260009765625e-02;2.683604812622070312e+01;5.000000000000000000e+00;5.000000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763559889152e+18
4.385595321655273438e-01;2.856304740905761719e+01;-3.012371063232421875e-02;2.856642913818359375e+01;6.000000000000000000e+00;5.900000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859763559966720e+18
7.317380905151367188e-01;2.819755935668945312e+01;-2.916336059570312500e-02;2.820706748962402344e+01;1.700000000000000000e+01;6.000000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763559975680e+18
1.003264427185058594e+00;2.803284645080566406e+01;-3.104686737060546875e-02;2.805080986022949219e+01;6.000000000000000000e+00;6.100000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859763559983872e+18
1.217711448669433594e+00;2.606536483764648438e+01;-2.833843231201171875e-02;2.609380912780761719e+01;7.000000000000000000e+00;6.200000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859763559992576e+18
1.346984863281250000e+00;2.353574943542480469e+01;-2.584552764892578125e-02;2.357427787780761719e+01;1.300000000000000000e+01;6.300000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763560001024e+18
1.456918716430664062e+00;2.163858795166015625e+01;-2.328205108642578125e-02;2.168759155273437500e+01;8.000000000000000000e+00;6.400000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859763560009472e+18
1.512467384338378906e+00;1.948440551757812500e+01;-2.116680145263671875e-02;1.954303169250488281e+01;1.300000000000000000e+01;6.500000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859763560018176e+18
1.694168090820312500e+00;1.910083770751953125e+01;-2.032756805419921875e-02;1.917583465576171875e+01;8.000000000000000000e+00;6.600000000000000000e+01;0.000000000000000000e+00;9.000000000000000000e+00;1.602859763560026880e+18
1.789755821228027344e+00;1.802466201782226562e+01;-1.876354217529296875e-02;1.811330986022949219e+01;1.700000000000000000e+01;6.700000000000000000e+01;0.000000000000000000e+00;1.400000000000000000e+01;1.602859763560035584e+18
1.897506713867187500e+00;1.735753822326660156e+01;-1.882171630859375000e-02;1.746095657348632812e+01;1.400000000000000000e+01;6.800000000000000000e+01;0.000000000000000000e+00;1.300000000000000000e+01;1.602859763560043776e+18
1.863313674926757812e+00;1.552530956268310547e+01;-1.646614074707031250e-02;1.563673400878906250e+01;1.700000000000000000e+01;6.900000000000000000e+01;0.000000000000000000e+00;2.300000000000000000e+01;1.602859763560052480e+18
2.011550903320312500e+00;1.537285423278808594e+01;-1.646232604980468750e-02;1.550391101837158203e+01;1.300000000000000000e+01;7.000000000000000000e+01;0.000000000000000000e+00;2.300000000000000000e+01;1.602859763560061440e+18
2.353576660156250000e+00;1.661934280395507812e+01;-1.796627044677734375e-02;1.678517723083496094e+01;1.300000000000000000e+01;7.100000000000000000e+01;0.000000000000000000e+00;1.100000000000000000e+01;1.602859763560070144e+18
2.673099517822265625e+00;1.762658309936523438e+01;-1.860237121582031250e-02;1.782813072204589844e+01;1.300000000000000000e+01;7.200000000000000000e+01;0.000000000000000000e+00;8.000000000000000000e+00;1.602859763560078592e+18
3.053480148315429688e+00;1.877290344238281250e+01;-2.000141143798828125e-02;1.901962280273437500e+01;8.000000000000000000e+00;7.300000000000000000e+01;0.000000000000000000e+00;1.900000000000000000e+01;1.602859763560087296e+18
4.146745681762695312e+00;2.390869903564453125e+01;-2.485179901123046875e-02;2.426565551757812500e+01;1.100000000000000000e+01;7.400000000000000000e+01;0.000000000000000000e+00;1.200000000000000000e+01;1.602859763560096256e+18
4.155737876892089844e+00;2.260560989379882812e+01;-2.370548248291015625e-02;2.298443603515625000e+01;1.200000000000000000e+01;7.500000000000000000e+01;0.000000000000000000e+00;7.000000000000000000e+00;1.602859763560104960e+18
4.350517272949218750e+00;2.236208343505859375e+01;-2.366161346435546875e-02;2.278135871887207031e+01;1.300000000000000000e+01;7.600000000000000000e+01;0.000000000000000000e+00;1.300000000000000000e+01;1.602859763560113664e+18
4.031311988830566406e+00;1.961346817016601562e+01;-2.022171020507812500e-02;2.002348709106445312e+01;1.700000000000000000e+01;7.700000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859763560122624e+18
4.046236038208007812e+00;1.869213867187500000e+01;-1.944637298583984375e-02;1.912507438659667969e+01;1.700000000000000000e+01;7.800000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859763560131584e+18
4.131541252136230469e+00;1.819705963134765625e+01;-1.909637451171875000e-02;1.866019821166992188e+01;2.700000000000000000e+01;7.900000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859763560140288e+18
4.204069137573242188e+00;1.765481948852539062e+01;-1.802635192871093750e-02;1.814847564697265625e+01;2.800000000000000000e+01;8.000000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763560149248e+18
4.366959571838378906e+00;1.752265930175781250e+01;-1.738262176513671875e-02;1.805863380432128906e+01;4.700000000000000000e+01;8.100000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859763560158464e+18
4.554805755615234375e+00;1.750703048706054688e+01;-1.684474945068359375e-02;1.808984947204589844e+01;4.700000000000000000e+01;8.200000000000000000e+01;0.000000000000000000e+00;1.000000000000000000e+00;1.602859763560167424e+18
4.750573158264160156e+00;1.753994750976562500e+01;-1.770019531250000000e-02;1.817190170288085938e+01;4.700000000000000000e+01;8.300000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859763560176384e+18
4.906042098999023438e+00;1.737942504882812500e+01;-1.769638061523437500e-02;1.805862617492675781e+01;3.700000000000000000e+01;8.400000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859763560185600e+18
5.060777664184570312e+00;1.724138069152832031e+01;-1.702785491943359375e-02;1.796877670288085938e+01;4.400000000000000000e+01;8.500000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.602859763560195072e+18
5.215563774108886719e+00;1.713402557373046875e+01;-1.706409454345703125e-02;1.791025543212890625e+01;5.100000000000000000e+01;8.600000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859763560204032e+18
5.372138977050781250e+00;1.700767135620117188e+01;-1.640319824218750000e-02;1.783594703674316406e+01;5.000000000000000000e+01;8.700000000000000000e+01;0.000000000000000000e+00;6.000000000000000000e+00;1.602859763560213248e+18
5.518254280090332031e+00;1.685818099975585938e+01;-1.640129089355468750e-02;1.773836708068847656e+01;4.200000000000000000e+01;8.800000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859763560222976e+18
5.669778823852539062e+00;1.673361206054687500e+01;-1.573562622070312500e-02;1.766806221008300781e+01;4.700000000000000000e+01;8.900000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763560232448e+18
5.755791664123535156e+00;1.644366455078125000e+01;-1.559257507324218750e-02;1.742192459106445312e+01;2.800000000000000000e+01;9.000000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.602859763560241920e+18
5.840367317199707031e+00;1.614409255981445312e+01;-1.544189453125000000e-02;1.716804695129394531e+01;4.700000000000000000e+01;9.100000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763560251392e+18
6.032327651977539062e+00;1.615259933471679688e+01;-1.490497589111328125e-02;1.724226379394531250e+01;4.800000000000000000e+01;9.200000000000000000e+01;0.000000000000000000e+00;5.000000000000000000e+00;1.602859763560261376e+18
6.221086502075195312e+00;1.616033554077148438e+01;-1.503658294677734375e-02;1.731642532348632812e+01;4.300000000000000000e+01;9.300000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.602859763560271104e+18
